TICKER,NAME,DESIGNATION,SECTEUR,HREF_BOURSORAMA,HREF_RENDEMENTBOURSE,PEA,PEA-PME,ISIN,DIVIDENDE
ALMIL,1000MERCIS,1000mercis,Communication,/cours/1rEPALMIL/,/almil-1000mercis,True,True,FR0010285965,True
ABCA,ABC ARBITRAGE,ABC arbitrage SA,Finance,/cours/1rPABCA/,/abca-abc-arbitrage-sa,True,True,FR0004040608,True
ABEO,ABEO,Abéo SA,Consommation discrétionnaire,/cours/1rPABEO/,/abeo-abeo,True,True,FR0013185857,True
ACAN,ACANTHE DEV.,Acanthe Développement,Immobilier,/cours/1rPACAN/,/acan-acanthe-dev,True,,FR0000064602,True
AC,ACCOR,Accor SA,Consommation discrétionnaire,/cours/1rPAC/,/ac-accor,True,,FR0000120404,True
ADP,ADP,Aeroports de Paris SA,Industrie,/cours/1rPADP/,/adp-aeroport-de-paris-adp,True,,FR0010340141,True
AI,AIR LIQUIDE,L'Air Liquide S.A.,Matériaux,/cours/1rPAI/,/ai-air-liquide,True,,FR0000120073,True
AIR,AIRBUS SE,Airbus SE,Industrie,/cours/1rPAIR/,/air-airbus-se,True,,NL0000235190,True
AKW,AKWEL,Akwel SA,Consommation discrétionnaire,/cours/1rPAKW/,/akw-akwel,True,,FR0000053027,True
ALD,ALD,ALD S.A.,Industrie,/cours/1rPALD/,/ald-ald,True,,FR0013258662,True
CDA,ALPES (COMPAGNIE),Compagnie des Alpes SA,Consommation discrétionnaire,/cours/1rPCDA/,/cda-alpes-compagnie,True,,FR0000053324,True
ALO,ALSTOM,Alstom SA,Industrie,/cours/1rPALO/,/alo-alstom,True,,FR0010220475,True
LTA,ALTAMIR,Altamir Ord,Finance,/cours/1rPLTA/,/lta-altamir,True,,FR0000053837,True
ATE,ALTEN,Alten S.A.,Technologies,/cours/1rPATE/,/ate-alten,True,,FR0000071946,True
ALTUR,ALTUR INVESTISSEMENT,"Altur Investissement SCA, SCR",Finance,/cours/1rPALTUR/,/altur-altur-invest,True,True,FR0010395681,True
AMUN,AMUNDI,Amundi S.A.,Finance,/cours/1rPAMUN/,/amun-amundi,True,,FR0004125920,True
ALAQU,AQUILA,Aquila SA,Industrie,/cours/1rEPALAQU/,/alaqu-aquila,True,True,FR0010340711,True
ARG,ARGAN,Argan SA,Immobilier,/cours/1rPARG/,/arg-argan,True,,FR0010481960,True
AKE,ARKEMA,Arkema S.A.,Matériaux,/cours/1rPAKE/,/ake-arkema,True,,FR0010313833,True
ARTE,ARTEA,Artea SA,Immobilier,/cours/1rPARTE/,/arte-artea,True,True,FR0012185536,True
ARTO,ARTOIS NOM.,Société Industrielle et Financière de l'Artois Société anonyme,Technologies,/cours/1rPARTO/,/arto-artois-nom,True,,FR0000076952,True
ASY,ASSYSTEM,Assystem S.A.,Industrie,/cours/1rPASY/,/asy-assystem-sa,True,,FR0000074148,True
AUB,AUBAY,Aubay Société Anonyme,Technologies,/cours/1rPAUB/,/aub-aubay,True,,FR0000063737,True
CS,AXA,AXA SA,Finance,/cours/1rPCS/,/cs-axa,True,,FR0000120628,True
AXW,AXWAY SOFTWARE,Axway Software SA,Technologies,/cours/1rPAXW/,/axw-axway-software,True,,FR0011040500,True
BAIN,BAINS MER MONACO,Société Anonyme des Bains de Mer et du Cercle des Étrangers à Monaco,Consommation discrétionnaire,/cours/1rPBAIN/,/bain-bains-mer-monaco,True,,MC0000031187,True
BASS,BASSAC,BASSAC Société anonyme,Consommation discrétionnaire,/cours/1rPBASS/,/lnc-les-nouveaux-constructeurs-sa,True,True,FR0004023208,True
BEN,BENETEAU,Bénéteau S.A.,Consommation discrétionnaire,/cours/1rPBEN/,/ben-beneteau,True,,FR0000035164,True
BB,BIC,Société BIC SA,Consommation de base,/cours/1rPBB/,/bb-bic,True,,FR0000120966,True
BIM,BIOMERIEUX,bioMérieux S.A.,Santé,/cours/1rPBIM/,/bim-biomerieux,True,,FR0013280286,True
BNP,BNP PARIBAS ACT.A,BNP Paribas SA,Finance,/cours/1rPBNP/,/bnp-bnp-paribas,True,,FR0000131104,True
BOI,BOIRON,Boiron SA,Santé,/cours/1rPBOI/,/boi-boiron,True,,FR0000061129,True
BOL,BOLLORE SE,Bolloré SE,Communication,/cours/1rPBOL/,/bol-bollore,True,,FR0000039299,True
BON,BONDUELLE,Bonduelle SCA,Consommation de base,/cours/1rPBON/,/bon-bonduelle,True,,FR0000063935,True
BSD,BOURSE DIRECT,Bourse Direct SA,Finance,/cours/1rPBSD/,/bsd-bourse-direct,True,True,FR0000074254,True
EN,BOUYGUES,Bouygues SA,Industrie,/cours/1rPEN/,/en-bouygues,True,,FR0000120503,True
BVI,BUREAU VERITAS,Bureau Veritas SA,Industrie,/cours/1rPBVI/,/bvi-bureau-veritas-sa,True,,FR0006174348,True
BUR,BURELLE,Burelle SA,Consommation discrétionnaire,/cours/1rPBUR/,/bur-burelle,True,,FR0000061137,True
CAT31,CA TOULOUSE 31 CCI,Caisse Regionale de Credit Agricole Mutuel Toulouse 31,Finance,/cours/1rPCAT31/,/cat31-ca-toulouse-31-cci,True,,FR0000045544,True
CBDG,CAMBODGE NOM.,Compagnie du Cambodge,Industrie,/cours/1rPCBDG/,/cbdg-cambodge-nom,True,,FR0000079659,True
CAP,CAPGEMINI,Capgemini SE,Technologies,/cours/1rPCAP/,/cap-capgemini-se,True,,FR0000125338,True
